week,title,link_name,url,description
2,Dancing stick figure hierarchy,figure,https://pages.cs.wisc.edu/~yw/CS559/Demos/figure.html,"Dancing stick figure hierarchy. Interactive demo showing a 2D canvas with a code textbox, buttons. Dancing Figure demo: Use the textarea to write a function(value, canvas, context) to move the arms and legs as a function of the slider value (can use translate, rotate, scale). Checkbox controls slider and slider value controls animation (from 0 to 1 and loops)."
3,Robotic arm SVG,arm_svg,https://pages.cs.wisc.edu/~yw/CS559/Demos/arm_svg.html,"Robotic arm SVG. Interactive demo showing a canvas-based demo with a code textbox, buttons. Robotic arm demo - svg: Use the textarea to write a function(v1, v2, v3, v4, v5, v6; canvas, context) to move a arms as a function of the slider values (can use translate, rotate, scale)."
3,General transformation matrix,matrix,https://pages.cs.wisc.edu/~yw/CS559/Demos/matrix.html,General transformation matrix. Interactive demo showing a 2D canvas with buttons. Matrix multiplication demo: Compute composite transformations using matrix multiplication. Apply composite transformations to the unit square (not using `context.transform`).
3,Homogeneous coordinate system,homogeneous,https://pages.cs.wisc.edu/~yw/CS559/Demos/homogeneous.html,"Homogeneous coordinate system. Interactive demo showing a Three.js canvas scene. Homogeneous coordinate demo: Translate, rotate, scale the square in 2D by using a linear transformation matrix in 3D."
3,Affine transformation matrix,transform_matrix,https://pages.cs.wisc.edu/~yw/CS559/Demos/transform_matrix.html,"Affine transformation matrix. Interactive demo showing a 2D canvas with buttons, checkboxes. Transformation matrix demo: Write the transformation matrix so that the square is transformed into the polygon when the `context.transform` is applied."
4,Parameterization,parameterization,https://pages.cs.wisc.edu/~yw/CS559/Demos/parameterization.html,"Parameterization. Interactive demo showing a 2D canvas with a code textbox, buttons. Parameterization demo: Draw a curve parameterized by t in [0, 1]. The same curve can be re-parameterized by multiple vector functions of t."
4,Circle parameterization,parameterization_circle,https://pages.cs.wisc.edu/~yw/CS559/Demos/parameterization_circle.html,"Circle parameterization. Interactive demo showing a 2D canvas with a code textbox, buttons. Parameterization demo - circle: Draw a curve parameterized by t in [0, 1]. The same curve can be re-parameterized by multiple vector functions of t."
4,Polynomial curve Parameterization,parameterization_curve,https://pages.cs.wisc.edu/~yw/CS559/Demos/parameterization_curve.html,"Polynomial curve Parameterization. Interactive demo showing a 2D canvas with a code textbox, buttons. Parameterization demo - polynomial: Draw a curve parameterized by t in [0, 1]. The same curve can be re-parameterized by multiple vector functions of t."
4,Angle along polynomial curves,angle_parametric,https://pages.cs.wisc.edu/~yw/CS559/Demos/angle_parametric.html,"Angle along polynomial curves. Interactive demo showing a 2D canvas with a code textbox, buttons. Curve derivative demo - parametric: Draw a curve parameterized by t in [0, 1]. Use the derivative parameterized by t in [0, 1] to rotate the rectangle."
4,Angle along quadratic curves,angle_quadratic,https://pages.cs.wisc.edu/~yw/CS559/Demos/angle_quadratic.html,"Angle along quadratic curves. Interactive demo showing a 2D canvas with a code textbox, buttons. Curve derivative demo - quadratic hermite: Draw a curve based on p0 p1 p'0 p'1 parameterized by t in [0, 1]. Use the derivative parameterized by t in [0, 1] to rotate the rectangle."
4,Angle along cubic curves,angle_cubic,https://pages.cs.wisc.edu/~yw/CS559/Demos/angle_cubic.html,"Angle along cubic curves. Interactive demo showing a 2D canvas with a code textbox, buttons. Curve derivative demo - cubic hermite: Draw a curve based on p0 p1 p'0 p'1 parameterized by t in [0, 1]. Use the derivative parameterized by t in [0, 1] to rotate the rectangle."
4,Circle subdivision curve,division,https://pages.cs.wisc.edu/~yw/CS559/Demos/division.html,Circle subdivision curve. Interactive demo showing a 2D canvas. Subdivision demo - circle: The slider controls the number of edges to do draw the regular polygon that approximates the circle.
4,De Casteljau construction,construction,https://pages.cs.wisc.edu/~yw/CS559/Demos/construction.html,"De Casteljau construction. Interactive demo showing a 2D canvas with buttons, checkboxes. De Casteljau demo: Enter the list of control points and the u parameter to compute the value of the Bezier curve at u."
4,Find control points given tangent,curve_tangent,https://pages.cs.wisc.edu/~yw/CS559/Demos/curve_tangent.html,"Find control points given tangent. Interactive demo showing a 2D canvas with buttons, checkboxes. Bezier curve tangent demo: Enter the list of control points for one or more Bezier curves to see the curve and the tangents."
4,Continuous quadratic curves,bezier_quadratic,https://pages.cs.wisc.edu/~yw/CS559/Demos/bezier_quadratic.html,"Continuous quadratic curves. Interactive demo showing a 2D canvas with a code textbox, buttons. Bezier curve demo - quadratic: Draw a curve using quadraticCurveTo(...) or bezierCurveTo(...)."
4,Continuous cubic curves,bezier_cubic,https://pages.cs.wisc.edu/~yw/CS559/Demos/bezier_cubic.html,"Continuous cubic curves. Interactive demo showing a 2D canvas with a code textbox, buttons. Bezier curve demo - quadratic: Draw a curve using quadraticCurveTo(...) or bezierCurveTo(...)."
5,Connect two Bezier curves,curve_tangent_too,https://pages.cs.wisc.edu/~yw/CS559/Demos/curve_tangent_too.html,"Connect two Bezier curves. Interactive demo showing a 2D canvas with buttons, checkboxes. Bezier curve tangent demo: Enter the list of control points for one or more Bezier curves to see the curve and the tangents. Separate two curves by an empty line. Only quadratic and cubic curves are supported."
5,Cardinal Catmull-Rom spline,cardinal,https://pages.cs.wisc.edu/~yw/CS559/Demos/cardinal.html,Cardinal Catmull-Rom spline. Interactive demo showing a 2D canvas with buttons. Cardinal spline demo: Enter the list of control points for one or more Bezier curves to see the curve and the tangents.
5,Chaikin's corner cutting algorithm,cut_corner,https://pages.cs.wisc.edu/~yw/CS559/Demos/cut_corner.html,"Chaikin's corner cutting algorithm. Interactive demo showing a 2D canvas with buttons, checkboxes. Chaikin's Algorithm demo: Enter the list of original control points to see quadratic B-spline construction."
5,Arc-length parameterization,arc_length,https://pages.cs.wisc.edu/~yw/CS559/Demos/arc_length.html,Arc-length parameterization. Interactive demo showing a 2D canvas with buttons. Arc length demo: Enter the list of control points for one or more Bezier curves to see the curve and the tangents.
6,Hello cube THREE.js,hello_cube,https://pages.cs.wisc.edu/~yw/CS559/Demos/hello_cube.html,"Hello cube THREE.js. Interactive demo showing a Three.js canvas scene with a code textbox, buttons. THREE.js Hello Cube demo: Draw a cube using THREE.js."
6,THREE.js lights,light,https://pages.cs.wisc.edu/~yw/CS559/Demos/light.html,"THREE.js lights. Interactive demo showing a Three.js canvas scene with a code textbox, buttons, checkboxes. Light demo: Write a function that creates and return a light to light the scene. The objects are placed at (1, 0, 1), (-1, 0, 1), (1, 0, -1), (-1, 0, -1)."
6,THREE.js materials,material,https://pages.cs.wisc.edu/~yw/CS559/Demos/material.html,"THREE.js materials. Interactive demo showing a Three.js canvas scene with a code textbox, buttons, checkboxes. Material demo: Write a function that creates and return a material for the object in the scene. The objects are placed at (1, 0, 1), (-1, 0, 1), (1, 0, -1), (-1, 0, -1)."
6,THREE.js cameras,camera,https://pages.cs.wisc.edu/~yw/CS559/Demos/camera.html,"THREE.js cameras. Interactive demo showing a Three.js canvas scene with a code textbox, buttons, checkboxes. Camera demo: Write a function that creates and return a camera to view the scene. The objects are placed at (1, 0, 1), (-1, 0, 1), (1, 0, -1), (-1, 0, -1)."
6,THREE.js animation as a function of state,action_state,https://pages.cs.wisc.edu/~yw/CS559/Demos/action_state.html,"THREE.js animation as a function of state. Interactive demo showing a Three.js canvas scene with a code textbox, buttons, checkboxes. 3D Animation first demo (use state): Write a function of time that moves the object in the scene. The objects are placed at (1, 0, 1), (-1, 0, 1), (1, 0, -1), (-1, 0, -1)."
6,THREE.js animation as a function of time,action_transform,https://pages.cs.wisc.edu/~yw/CS559/Demos/action_transform.html,"THREE.js animation as a function of time. Interactive demo showing a Three.js canvas scene with a code textbox, buttons, checkboxes. 3D Animation second demo (use transformation): Write a function of time that moves the object in the scene. The objects are placed at (1, 0, 1), (-1, 0, 1), (1, 0, -1), (-1, 0, -1)."
7,THREE.js hierarchy,hierarchy,https://pages.cs.wisc.edu/~yw/CS559/Demos/hierarchy.html,"THREE.js hierarchy. Interactive demo showing a Three.js canvas scene with a code textbox, buttons, checkboxes. 3D Animation third demo (with hierarchy): Write a function of time that moves the object in the scene. The objects are placed at (1, 0, 1), (-1, 0, 1), (1, 0, -1), (-1, 0, -1)."
7,Camera rotation,road,https://pages.cs.wisc.edu/~yw/CS559/Demos/road.html,"Camera rotation. Interactive demo showing a Three.js canvas scene with a code textbox, buttons, checkboxes. 3D Animation camera demo (road): Write a function that moves the camera related in the scene. The objects are placed at (1, 0, 1), (-1, 0, 1), (1, 0, -1), (-1, 0, -1)."
7,Camera rotation too,road_reverse,https://pages.cs.wisc.edu/~yw/CS559/Demos/road_reverse.html,"Camera rotation too. Interactive demo showing a Three.js canvas scene with a code textbox, buttons, checkboxes. 3D Animation camera demo (road): Write a function that moves the camera related in the scene. The objects are placed at (1, 0, 1), (-1, 0, 1), (1, 0, -1), (-1, 0, -1)."
8,Extrude geometry,extrude,https://pages.cs.wisc.edu/~yw/CS559/Demos/extrude.html,"Extrude geometry. Interactive demo showing a Three.js canvas scene with a code textbox, buttons, checkboxes. Special geometry (Extrude) demo: Write the code to build special geometries."
8,Lathe geometry,lathe,https://pages.cs.wisc.edu/~yw/CS559/Demos/lathe.html,"Lathe geometry. Interactive demo showing a Three.js canvas scene with a code textbox, buttons, checkboxes. Special geometry (Lathe) demo: Write the code to build special geometries."
8,Tube geometry,tube,https://pages.cs.wisc.edu/~yw/CS559/Demos/tube.html,"Tube geometry. Interactive demo showing a Three.js canvas scene with a code textbox, buttons, checkboxes. Special geometry (Tube) demo: Write the code to build special geometries."
8,Buffer geometries,buffer,https://pages.cs.wisc.edu/~yw/CS559/Demos/buffer.html,"Buffer geometries. Interactive demo showing a Three.js canvas scene with buttons, checkboxes. Buffer geometry demo: Write the vertices and index sets to construct the BufferGeometry."
8,Morph target,morph,https://pages.cs.wisc.edu/~yw/CS559/Demos/morph.html,"Morph target. Interactive demo showing a Three.js canvas scene with a code textbox, buttons, checkboxes. Morph demo: Write the code to morph a sphere to something else."
8,Spot the cow morphing,morph_cow,https://pages.cs.wisc.edu/~yw/CS559/Demos/morph_cow.html,"Spot the cow morphing. Interactive demo showing a Three.js canvas scene with a code textbox, buttons, checkboxes. Morph demo (cow): Write the code to morph the cow to something else."
8,Key frame animation,key_frame,https://pages.cs.wisc.edu/~yw/CS559/Demos/key_frame.html,"Key frame animation. Interactive demo showing a Three.js canvas scene with a code textbox, buttons, checkboxes. Key frame animation demo: Write the code to set the key frames."
8,Key frame animation for skinned mesh,key_frame_skin,https://pages.cs.wisc.edu/~yw/CS559/Demos/key_frame_skin.html,"Key frame animation for skinned mesh. Interactive demo showing a Three.js canvas scene with a code textbox, buttons, checkboxes. Key frame animation demo - skinned mesh: Write the code to set the key frames."
8,Key frame animation for cow,key_frame_cow,https://pages.cs.wisc.edu/~yw/CS559/Demos/key_frame_cow.html,"Key frame animation for cow. Interactive demo showing a Three.js canvas scene with a code textbox, buttons, checkboxes. Key frame animation demo - skinned mesh for cow: Write the code to set the key frames."
9,Texture UV mapping,texture,https://pages.cs.wisc.edu/~yw/CS559/Demos/texture.html,"Texture UV mapping. Interactive demo showing a Three.js canvas scene with buttons, checkboxes, a color picker. Texture UV demo: Draw the texture in the HTML Canvas. Write the UV maps to map parts of the image onto the triangles as the texture."
9,Normal map texture,texture_normal,https://pages.cs.wisc.edu/~yw/CS559/Demos/texture_normal.html,"Normal map texture. Interactive demo showing a Three.js canvas scene with buttons, checkboxes, a color picker. Normal Map Texture UV demo: Draw the texture in the HTML Canvas. Write the UV maps to map parts of the image onto the triangles as the normal map."
9,Bump map texture,texture_bump,https://pages.cs.wisc.edu/~yw/CS559/Demos/texture_bump.html,"Bump map texture. Interactive demo showing a Three.js canvas scene with buttons, checkboxes, a color picker. Bump Map Texture UV demo: Draw the texture in the HTML Canvas. Write the UV maps to map parts of the image onto the triangles as the bump map."
9,Barycentric coordinate system,barycentric,https://pages.cs.wisc.edu/~yw/CS559/Demos/barycentric.html,"Barycentric coordinate system. Interactive demo showing a Three.js canvas scene with buttons, checkboxes. Texture Barycentric Mapping demo: Compute the UV coordinate of a point on the triangle."
9,Tri-linear interpolation,tri_linear,https://pages.cs.wisc.edu/~yw/CS559/Demos/tri_linear.html,Tri-linear interpolation. Interactive demo showing a 2D canvas. Tri-linear interpolation demo: Place the points between pixel centers to interpolate. Drag the point between mipmaps to interpolate.
10,Painter's algorithm and Z-Buffer,painter,https://pages.cs.wisc.edu/~yw/CS559/Demos/painter.html,"Painter's algorithm and Z-Buffer. Interactive demo showing a Three.js canvas scene with buttons, checkboxes. Painter's Algorithm and Z-Buffer demo: Write the vertices construct the BufferGeometry. Click on a pixel to find the distance values of each triangle."
10,Basic shader,shader,https://pages.cs.wisc.edu/~yw/CS559/Demos/shader.html,"Basic shader. Interactive demo showing a Three.js canvas scene with buttons, checkboxes, a color picker. Shader demo: Write the vertex and fragment shaders."
10,Shader uniform attribute varying variables,shader_variable,https://pages.cs.wisc.edu/~yw/CS559/Demos/shader_variable.html,"Shader uniform attribute varying variables. Interactive demo showing a Three.js canvas scene with buttons, checkboxes, a color picker. Shader demo - More variables: Use uniforms t and u and attributes v. Write the vertex and fragment shaders."
10,Shader textures,shader_texture,https://pages.cs.wisc.edu/~yw/CS559/Demos/shader_texture.html,"Shader textures. Interactive demo showing a Three.js canvas scene with buttons, checkboxes, a color picker. Shader demo - Textures: Use texture uniforms tex. Write the vertex and fragment shaders."
10,"Shader functions (step, smoothstep)",step,https://pages.cs.wisc.edu/~yw/CS559/Demos/step.html,"Shader functions (step, smoothstep). Interactive demo showing a 2D canvas with buttons. Step function demo: Write up to three functions of u or v to visualize the function between 0 and 1. List of functions to try: clamp, fract, mix, smoothstep, step, trunc."
11,Cosine law,cos_law,https://pages.cs.wisc.edu/~yw/CS559/Demos/cos_law.html,Cosine law. Interactive demo showing a 2D canvas. Cosine law demo: Move the end points of the arrows to change the light and camera directions. Highlight the cosine of the angle that affects diffuse and specular lighting.
11,Shader Phong lighting model,shader_light,https://pages.cs.wisc.edu/~yw/CS559/Demos/shader_light.html,"Shader Phong lighting model. Interactive demo showing a Three.js canvas scene with buttons, checkboxes, a color picker. Shader demo - Light: Use lp and lc as the position and color the light. Red vector is E (unit eye direction). Green vector is N (unit normal direction). Blue vector is L (unit light direction). White vector is R (unit reflected light direction). Write the vertex and fragment shaders."
11,Shader Phong lighting model too,shader_light_too,https://pages.cs.wisc.edu/~yw/CS559/Demos/shader_light_too.html,"Shader Phong lighting model too. Interactive demo showing a Three.js canvas scene with buttons, checkboxes, a color picker. Shader demo - Light: Use lp and lc as the position and color the light. Red vector is E (unit eye direction). Green vector is N (unit normal direction). Blue vector is L (unit light direction). White vector is R (unit reflected light direction). Write the vertex and fragment shaders."
11,Shader stripes,shader_proc,https://pages.cs.wisc.edu/~yw/CS559/Demos/shader_proc.html,"Shader stripes. Interactive demo showing a Three.js canvas scene with buttons, checkboxes, a color picker. Shader demo - Procedural texture: Write the vertex and fragment shaders."
11,Triangle rasterization,raster_triangle,https://pages.cs.wisc.edu/~yw/CS559/Demos/raster_triangle.html,"Triangle rasterization. Interactive demo showing a 2D canvas with a code textbox, buttons, checkboxes, a color picker. Rasterization demo - Triangles: When ""Draw"" is checked, use mouse or touch to draw lines; when ""Draw"" is not checked, use mouse or touch to select a region to show pixel colors. Use the textarea to write a function(canvas, context) and use the button to evaluate the function."
11,Aliasing sin function,aliasing,https://pages.cs.wisc.edu/~yw/CS559/Demos/aliasing.html,"Aliasing sin function. Interactive demo showing a 2D canvas with a code textbox, buttons, checkboxes. Aliasing demo: x and y are from -1 to 1. Write different functions so when they are sampled, they look the same."
11,Shader stripes with blur,shader_blur,https://pages.cs.wisc.edu/~yw/CS559/Demos/shader_blur.html,"Shader stripes with blur. Interactive demo showing a Three.js canvas scene with buttons, checkboxes, a color picker. Shader demo - Anti-aliasing by blurring: Write the vertex and fragment shaders. Use u to control the number of stripes and t to control the amount of blur."
11,Shader checker board,shader_check,https://pages.cs.wisc.edu/~yw/CS559/Demos/shader_check.html,"Shader checker board. Interactive demo showing a Three.js canvas scene with buttons, checkboxes, a color picker. Shader demo - CheckerBoard texture: Write the vertex and fragment shaders."
11,Aliasing derivative,aliasing_derivative,https://pages.cs.wisc.edu/~yw/CS559/Demos/aliasing_derivative.html,"Aliasing derivative. Interactive demo showing a 2D canvas with a code textbox, buttons, checkboxes. Image derivative demo: x and y are from -1 to 1. Demo for dFdx, dFdy, fwidth for some function F."
12,Shader noise,shader_noise,https://pages.cs.wisc.edu/~yw/CS559/Demos/shader_noise.html,"Shader noise. Interactive demo showing a Three.js canvas scene with buttons, checkboxes, a color picker. Shader demo - Noise texture: Write the vertex and fragment shaders."
12,Shader wood,shader_wood,https://pages.cs.wisc.edu/~yw/CS559/Demos/shader_wood.html,"Shader wood. Interactive demo showing a Three.js canvas scene with buttons, checkboxes, a color picker. Shader demo - Wood texture: Write the vertex and fragment shaders."
12,Perlin noise 2D,noise,https://pages.cs.wisc.edu/~yw/CS559/Demos/noise.html,"Perlin noise 2D. Interactive demo showing a 2D canvas with buttons, checkboxes. Perlin noise demo: Simple implementation of 2D Perlin noise. The gradient uses Math.random without a seed: this should not be used in a shader."
12,Ray tracing diagram (not demo),ray,https://pages.cs.wisc.edu/~yw/CS559/Demos/ray.html,Ray tracing diagram (not demo). Interactive demo showing a Three.js canvas scene with checkboxes. Ray tracing diagram (not a demo): Click anywhere to cast a ray.
12,Particle effects,particle,https://pages.cs.wisc.edu/~yw/CS559/Demos/particle.html,"Particle effects. Interactive demo showing a Three.js canvas scene with a code textbox, buttons, checkboxes. Particle demo using InstancedMesh: Write the code to move all particles are the same time. Use an empty group (and apply transformations to it) to create the matrix and copy to each particle."
